mjd;mag;magerr
51818.35;19.949.256.896.972.600;0.0473259463906288
52173.32;20.227.514.266.967.700;0.0762449502944946
52207.37;20.025.074.005.126.900;0.0500569716095924
52224.3;20.102.277.755.737.300;0.0475783683359622
52225.26;2.023.188.781.738.280;0.0523102022707462
52231.28;2.016.181.755.065.910;0.0499569065868854
52234.25;20.172.590.255.737.300;0.0523605942726135
52261.22;2.014.934.730.529.780;0.0542268939316272
52282.15;20.226.993.560.791.000;0.0648327842354774
52287.1;2.018.503.189.086.910;0.0490895360708236
52288.1;2.030.200.958.251.950;0.0559438206255435
52522.4;2.024.478.530.883.780;0.049581341445446
52551.37;2.023.504.447.937.010;0.0513558387756347
52552.42;2.016.639.709.472.650;0.0596799179911613
52557.39;2.015.509.986.877.440;0.0602330975234508
52558.4;20.219.343.185.424.800;0.0461916886270046
52576.24;20.213.359.832.763.600;0.0495442375540733
52577.29;20.262.643.814.086.900;0.0477487184107303
52585.24;2.025.148.582.458.490;0.0471375845372676
52908.36;20.250.577.926.635.700;0.0608940497040748
52910.37;2.024.602.508.544.920;0.0559989437460899
52912.34;2.012.260.055.541.990;0.0604008398950099
52934.3;20.203.598.022.460.900;0.0653764978051185
52935.3;2.038.944.625.854.490;0.058410819619894
52936.29;20.239.511.489.868.100;0.0497231632471084
52963.22;2.034.957.695.007.320;0.0509890280663967
53270.36;1.999.121.856.689.450;0.0552266389131546
53286.37;1.998.592.567.443.840;0.0559189468622207
53288.33;20.018.796.920.776.300;0.0445442795753479
53296.33;1.996.718.978.881.830;0.0677361935377121
53298.38;19.928.640.365.600.500;0.0539641045033931
53302.33;1.980.884.552.001.950;0.0735350549221038
53312.28;2.003.616.523.742.670;0.0867576599121093
53314.29;1.999.277.687.072.750;0.0668932795524597
53351.15;2.009.665.298.461.910;0.0552140921354293
53622.4;20.095.407.485.961.900;0.0483258217573165
53628.35;19.816.844.940.185.500;0.0731240212917327
53637.35;1.982.530.975.341.790;0.0719446018338203
53638.39;19.933.000.564.575.100;0.0546759217977523
53639.4;1.982.666.015.625;0.0470144785940647
53640.36;19.975.908.279.418.900;0.0538387410342693
53641.4;1.997.464.942.932.120;0.0535413473844528
53646.42;206.611.328.125;0.0660138428211212
53655.33;19.956.228.256.225.500;0.041610263288021
53663.34;1.990.079.689.025.870;0.0885635241866111
53664.36;2.033.788.299.560.540;0.1100567504763603
53665.42;19.780.181.884.765.600;0.0772457048296928
53668.33;19.866.323.471.069.300;0.0601545833051204
53669.31;1.996.985.244.750.970;0.0413113646209239
53669.42;2.004.144.287.109.370;0.0941768437623977
53671.4;2.002.203.750.610.350;0.0726972073316574
53673.3;1.998.758.125.305.170;0.0452322885394096
53674.3;2.003.990.936.279.290;0.0653348490595817
53675.3;19.834.617.614.746.000;0.0480787828564643
53676.39;1.991.951.560.974.120;0.0476907640695571
53677.32;19.924.724.578.857.400;0.0468805357813835
53680.31;1.991.942.024.230.950;0.048521626740694
53681.35;2.002.109.146.118.160;0.0456248968839645
53693.31;19.962.417.602.539.000;0.1350165605545044
53697.31;2.010.519.027.709.960;0.0598893575370311
53698.31;20.445.165.634.155.200;0.0773670375347137
53704.29;1.990.731.811.523.430;0.0589461922645568
53975.38;1.989.300.537.109.370;0.0448688194155693
53989.39;19.880.373.001.098.600;0.0931495502591133
53993.39;19.571.504.592.895.500;0.0529512204229831
53994.4;19.965.898.513.793.900;0.0490349307656288
53995.43;1.946.324.920.654.290;0.046163260936737
53996.39;1.941.516.494.750.970;0.043284673243761
54000.36;19.878.856.658.935.500;0.0580323003232479
54007.41;19.928.146.362.304.600;0.0522547736763954
54008.35;19.890.918.731.689.400;0.0451420992612838
54009.34;19.940.658.569.335.900;0.0547403059899807
54011.4;19.961.280.822.753.900;0.0420789904892444
54012.33;2.006.694.221.496.580;0.0832313001155853
54020.34;1.999.656.867.980.950;0.070522554218769
54024.42;2.029.640.769.958.490;0.0759474262595176
54025.4;1.961.406.707.763.670;0.0616263933479785
54028.41;20.084.789.276.123.000;0.047512337565422
54029.33;1.992.631.721.496.580;0.0468088760972023
54030.33;1.997.952.461.242.670;0.0392010770738124
54031.32;19.967.485.427.856.400;0.0461333207786083
54035.41;20.117.938.995.361.300;0.0690303444862365
54036.32;19.912.538.528.442.300;0.0685107633471489
54037.31;19.929.607.391.357.400;0.0398429706692695
54039.32;1.980.223.846.435.540;0.0472051836550235
54040.33;1.990.003.967.285.150;0.0625190213322639
54041.29;19.911.760.330.200.100;0.0799801126122474
54047.36;19.693.531.036.376.900;0.1897479742765426
54049.35;1.990.620.422.363.280;0.0936480164527893
54052.32;1.991.680.908.203.120;0.0776074901223182
54053.32;19.854.854.583.740.200;0.0457090958952903
54056.32;2.024.717.903.137.200;0.0697171837091445
54058.32;198.126.163.482.666;0.0546957999467849
54059.31;19.869.632.720.947.200;0.0759380906820297
54061.33;19.897.899.627.685.500;0.0748766288161277
54062.32;19.955.270.767.211.900;0.0500016212463378
54063.31;19.839.815.139.770.500;0.0465890876948833
54068.3;19.937.349.319.458.000;0.0791857987642288
54346.4;19.979.867.935.180.600;0.0765339061617851
54348.4;19.985.858.917.236.300;0.0603822953999042
54357.36;19.945.117.950.439.400;0.0487066395580768
54359.39;1.995.950.126.647.940;0.0565155930817127
54365.39;1.992.829.132.080.070;0.0463196374475955
54376.4;2.013.506.317.138.670;0.049172319471836
54381.41;1.993.350.982.666.010;0.061658602207899
54382.39;20.132.741.928.100.500;0.0836951956152916
54384.41;19.885.534.286.499.000;0.0537734813988208
54385.41;19.865.840.911.865.200;0.0438913516700267
54386.4;20.008.440.017.700.100;0.0564440116286277
54387.41;2.004.286.193.847.650;0.0837612003087997
54391.41;2.020.682.144.165.030;0.0989861860871315
54392.4;1.982.627.296.447.750;0.0584017187356948
54393.41;19.894.336.700.439.400;0.0530868954956531
54394.39;19.884.077.072.143.500;0.0649503469467163
54396.27;19.970.155.715.942.300;0.1879738122224807
54396.41;20.208.816.528.320.300;0.1182829588651657
54402.4;19.809.709.548.950.100;0.1325335651636123
54403.32;19.953.941.345.214.800;0.2243085503578186
54404.38;20.034.151.077.270.500;0.1237811371684074
54405.37;19.925.615.310.668.900;0.0732615888118743
54406.31;19.968.204.498.291.000;0.0484452322125434
54411.27;1.995.323.181.152.340;0.0420358702540397
54412.34;20.027.820.587.158.200;0.0620430558919906
54413.31;19.957.416.534.423.800;0.0675646886229515
54415.32;19.930.479.049.682.600;0.0484285131096839
54417.31;1.997.424.697.875.970;0.0413612425327301
54418.31;1.978.022.766.113.280;0.0489032045006752
54421.32;1.997.559.928.894.040;0.0613375455141067
54422.32;19.877.613.067.626.900;0.0534811429679393
54423.29;1.999.908.828.735.350;0.0766300559043884
54424.25;20.030.292.510.986.300;0.0779384523630142
